kaupunkialusta_id;ontologyword_ids
2350;490
2351;490
2353;490
2355;490
2356;473
2357;473
2358;961
2359;473
2365;214+326
2369;914
2370;214+326
2372;864+917
2376;490
2377;490
2378;490
2379;490
2382;239
2383;490
2384;917
2388;239+490
2389;490
2394;214+326
2396;214+326
2403;214+577
2404;577
2406;214+326
2407;473+918
2408;916
2409;490
2412;916
2413;326+914
2415;214+326
2423;214+326
2424;490
2425;577
2426;961
2427;239
2428;473
2430;490
2431;239+490
2432;916
2438;490
2446;490
2447;919
2450;490
2451;214+326
2453;490
2454;919
2463;577
2468;214+326
2471;490
2473;868
2476;214+577
2477;868
2478;914
2479;473+916+917
2484;577
2486;577
2488;490+868+915
2489;490
2490;490
2492;214+326
2493;326
2495;868
2498;490
2500;214+326
2502;577
2504;214+914
2509;490
2513;490
2516;490+917
2517;490
2519;239
2520;917
2521;214+326
2522;214+326
2523;214+326
2525;214+326
2526;577
2529;473+918
2530;915
2531;917
2532;326
2535;577
2537;214+326+868
2538;214+326
2540;473+490
2541;473+577+864
2546;490
2548;921
2549;490
2553;490
2556;473+917+918
2557;490
2559;868
2563;490
2564;490
2565;869
2566;577
2567;577
2571;916
2572;490
2573;239
2574;915
2575;473+916
2577;868+869
2578;239
2580;490
2581;214+326+914
2583;214+326+914
2587;914
2588;577
2589;869
2591;239
2592;869
2593;869
2594;869
2598;490
2599;577
2602;577
2603;577
2605;577
2606;577
2607;577
2612;577
2613;473+918
2614;914
2615;577
2616;239+473+577+961
2618;239+490
2623;577
2624;473
2626;473+868
2628;239
2634;490
2636;473
2637;916
2638;917+918
2640;868
2641;868
2643;915
2646;239+473+577+864+868+916+917+918
2648;869
2649;490
2650;490
2651;577
2654;239
2655;577
2659;490
2660;490
2661;490
2662;577
2663;490
2664;864
2665;490
2666;490
2669;577
2670;490
2671;490
2672;577
2675;490
2681;490
2683;239+577
2686;577
2687;239+490
2688;577
2689;577
2690;577
2691;239+473+490
2693;490
2696;473
2697;473
2699;473
2700;473
2701;473
2703;490
2707;864
2709;490
2710;490
2711;473
2712;490
2713;490
2716;577
2718;490
2719;490
2720;490
2721;490
2722;490
2723;577
2725;577
2729;577+869
2730;577
2734;577
2738;577
2739;577
2742;577
2745;577
2746;577
2747;239+490
2748;239+490
2749;239+490
2750;239+490
2751;239+490
2752;239
2753;239
2756;490+915
2757;577
2759;919
2761;577
2764;214+326+577
2766;239
2767;577
2768;917
2769;916
2770;919
2771;868+869
2775;490
2777;916
2778;239
2779;916
2780;864
2782;490
2783;473
2784;473
2785;490
2786;869
2787;473+916
2788;239+490+577
2789;577
2790;239
2791;868
2792;473+916+917
2793;869
2794;869
2795;869
2796;869
2797;577+869
2798;473
2799;490
2800;577
2801;577
2802;577
2803;577
2805;239
2807;577
2809;577
2812;577
2815;490
2816;490
2817;239+577
2819;577+869+919
2824;577
2825;239
2828;868
2829;490
2830;239+864+917
2832;490
2835;490
2838;490
2839;490
2840;239
2843;869
2844;577
2845;577
2846;869
2847;577
2849;490
2851;326+577+869
2852;239
2853;577
2854;577
2855;577
2856;869
2857;577
2859;490+577
2861;239+490
2863;473
2864;577
2865;473
2870;577
2871;577
2873;577
2876;917
2877;869+919
2882;869+919
2883;914
2884;915
2885;915
2886;917
2887;917
2889;577
2893;490
2894;490
2895;577
2896;490+868
2897;577
2898;869
2899;577
2900;490+577
2903;869
2904;577+869
2907;577
2908;577
2910;869
2911;490
2914;490
2915;869
2916;473
2918;239
2920;239
2921;473
2922;490
2923;577
2927;577
2929;577
2930;239
2931;577
2932;869
2934;239+577
2935;577
2936;473+916
2937;869
2939;917
2940;473+916
2942;239
2943;917
2944;577
2945;917
2946;917
2947;917
2948;473
2949;239
2950;490
2952;239+490
2954;490
2955;869
2956;577
2957;577
2959;869
2960;490
2961;473
2962;239+864+916+917
2963;239
2964;490
2965;490
2966;490
2973;214+326+868
2974;239
2975;577
2976;577
2978;239+490
2979;239
2980;869+915
2981;869
2982;869
2983;239+490
2984;869
2985;577
2987;577
2988;916
2989;916+917
2990;917
2991;916
2992;917
2993;917
2994;473+916
2995;917
2998;239+577
2999;239
3001;490
3002;473
3003;490
3005;490
3007;577
3009;577
3011;869
3015;577
3017;914
3018;869
3020;869
3021;577
3022;869
3025;490
3026;490
3027;490
3029;473+916
3030;490
3031;490
3034;490
3036;577
3037;473
3038;473
3039;869
3041;577
3042;869
3044;473+961
3045;239
3046;490
3048;577
3049;577
3050;577
3051;916
3053;917
3054;490
3055;473
3056;490
3057;490
3058;473
3059;490
3061;490
3062;490
3063;239
3064;214+577+868
3065;916
3066;214+326+868
3069;490
3070;869
3071;577
3073;577
3074;577
3076;239
3079;577
3080;915
3081;577
3082;917
3084;473
3085;869+919
3086;868
3087;869+919
3088;915
3089;473+868
3090;239
3091;577
3092;577
3093;490
3094;473+961
3096;914
3097;326+914
3098;473
3099;869
3100;869
3101;869
3102;914
3103;490
3105;473
3107;869
3108;239+868
3110;473
3111;577+869
3114;239
3115;239+577
3117;577
3118;326+914
3120;577
3121;473
3122;239
3123;490
3124;239+490
3126;490
3127;916
3129;916
3131;490
3132;868
3133;490
3134;490
3135;577
3136;473
3137;869
3138;917
3140;577
3142;577
3143;577
3144;577
3145;577
3146;917
3147;917
3148;239
3149;473
3150;239+577
3151;490
3152;473
3153;473
3154;239+577
3155;239
3157;239
3158;239
3159;868
3160;577
3161;577
3162;473+961
3164;577
3165;239
3166;864
3167;868
3168;490
3171;239+577
3174;577
3175;917
3176;869
3177;490
3178;490
3179;490
3181;239
3183;490
3184;490
3185;490
3188;490
3189;490
3190;490
3191;490
3192;490
3193;490
3194;577
3195;577
3196;577
3199;577
3200;214
3203;577+869
3204;869
3205;577
3206;869
3207;577+869
3208;869
3210;869
3211;869
3212;577
3213;577
3214;577
3217;490
3219;868
3220;577
3221;577
3222;577
3223;915
3224;916+917
3225;490
3226;577
3227;915
3228;868
3229;473
3230;473
3231;239
3232;577
3233;577
3236;577
3237;577
3238;490
3239;490
3240;239+490
3242;490
3243;490
3244;490
3246;869
3247;490
3248;490
3250;917
3251;864
3252;915
3253;490
3255;869
3257;239
3258;490
3260;239
3261;869
3262;577
3267;915
3268;577
3269;490
3270;490
3272;239+490
3273;239
3274;473+916
3275;868+920
3276;868
3277;490
3279;490
3280;577+914+915
3281;920
3282;490
3283;490
3287;868
3288;473
3290;473
3291;917
3293;920
3294;473
3295;473
3296;239+577
3297;869
3298;490+915
3299;490
3301;239+490+577
3302;915
3303;577
3307;490
3309;490
3310;490
3311;473
3312;473
3313;473
3314;473
3315;473
3316;473
3317;914
3318;577
3319;868
3320;473+961
3321;473
3322;577+869
3323;869+919
3324;577+869
3325;239
3326;916
3332;577
3333;239
3334;864
3336;915
3337;473
3338;916+917
3339;868
3340;239+916
3341;239+868+915+920+921
3343;577
3345;473
3347;577
3348;864
3349;490
3350;917
3351;577
3352;239
3359;869+919
3361;916
3362;490
3364;473
3365;577
3369;490
3371;239+490
3372;864
3373;473
3374;917
3375;577+869
3376;239+869
3377;869
3378;869
3379;239
3380;239+577
3381;239+869
3383;915
3384;868
3385;214+239+326+577+868+920+921
3386;917
3387;868
3390;239+869
3391;868
3392;490
3393;577
3395;239
3396;239+490
3397;577
3398;577
3399;577
3400;577
3401;577
3402;577
3404;869
3405;869
3408;577
3409;490
3410;490
3411;490
3413;577
3414;490
3417;577
3419;868
3420;868
3421;577
3424;920
3425;239
3427;490
3428;914
3430;239+869
3431;868
3433;869
3434;239+577
3436;577
3437;577
3438;869
3439;239
3440;577
3441;868+920
3442;239+577
3443;577
3446;577
3447;577
3448;869
3449;239
3450;577
3451;868+920+921
3452;490
3453;490
3454;239+577
3456;490
3458;239
3459;239
3460;239
3461;916
3462;916
3463;239
3464;916
3465;868+915
3466;916
3467;916
3468;916
3469;490
3470;869
3472;239+473+961
3474;577
3475;577
3476;577
3480;577
